"","date","hits","keyword","geo","time","gprop","category"
"46",2018-04-08,58,"Date ideas","US","today+5-y","web",0
"47",2018-04-15,51,"Date ideas","US","today+5-y","web",0
"48",2018-04-22,56,"Date ideas","US","today+5-y","web",0
"49",2018-04-29,51,"Date ideas","US","today+5-y","web",0
"50",2018-05-06,54,"Date ideas","US","today+5-y","web",0
"51",2018-05-13,56,"Date ideas","US","today+5-y","web",0
"52",2018-05-20,54,"Date ideas","US","today+5-y","web",0
"53",2018-05-27,61,"Date ideas","US","today+5-y","web",0
"54",2018-06-03,60,"Date ideas","US","today+5-y","web",0
"55",2018-06-10,58,"Date ideas","US","today+5-y","web",0
"56",2018-06-17,60,"Date ideas","US","today+5-y","web",0
"57",2018-06-24,64,"Date ideas","US","today+5-y","web",0
"58",2018-07-01,62,"Date ideas","US","today+5-y","web",0
"59",2018-07-08,63,"Date ideas","US","today+5-y","web",0
"60",2018-07-15,75,"Date ideas","US","today+5-y","web",0
"61",2018-07-22,71,"Date ideas","US","today+5-y","web",0
"62",2018-07-29,69,"Date ideas","US","today+5-y","web",0
"63",2018-08-05,71,"Date ideas","US","today+5-y","web",0
"64",2018-08-12,61,"Date ideas","US","today+5-y","web",0
"65",2018-08-19,60,"Date ideas","US","today+5-y","web",0
"66",2018-08-26,59,"Date ideas","US","today+5-y","web",0
"67",2018-09-02,60,"Date ideas","US","today+5-y","web",0
"68",2018-09-09,59,"Date ideas","US","today+5-y","web",0
"69",2018-09-16,67,"Date ideas","US","today+5-y","web",0
"70",2018-09-23,65,"Date ideas","US","today+5-y","web",0
"71",2018-09-30,66,"Date ideas","US","today+5-y","web",0
"72",2018-10-07,60,"Date ideas","US","today+5-y","web",0
"73",2018-10-14,60,"Date ideas","US","today+5-y","web",0
"74",2018-10-21,58,"Date ideas","US","today+5-y","web",0
"75",2018-10-28,70,"Date ideas","US","today+5-y","web",0
"76",2018-11-04,70,"Date ideas","US","today+5-y","web",0
"77",2018-11-11,60,"Date ideas","US","today+5-y","web",0
"78",2018-11-18,51,"Date ideas","US","today+5-y","web",0
"79",2018-11-25,56,"Date ideas","US","today+5-y","web",0
"80",2018-12-02,56,"Date ideas","US","today+5-y","web",0
"81",2018-12-09,54,"Date ideas","US","today+5-y","web",0
"82",2018-12-16,58,"Date ideas","US","today+5-y","web",0
"83",2018-12-23,65,"Date ideas","US","today+5-y","web",0
"84",2018-12-30,83,"Date ideas","US","today+5-y","web",0
"85",2019-01-06,73,"Date ideas","US","today+5-y","web",0
"86",2019-01-13,73,"Date ideas","US","today+5-y","web",0
"87",2019-01-20,73,"Date ideas","US","today+5-y","web",0
"88",2019-01-27,73,"Date ideas","US","today+5-y","web",0
"89",2019-02-03,75,"Date ideas","US","today+5-y","web",0
"90",2019-02-10,90,"Date ideas","US","today+5-y","web",0
"91",2019-02-17,65,"Date ideas","US","today+5-y","web",0
"92",2019-02-24,52,"Date ideas","US","today+5-y","web",0
"93",2019-03-03,57,"Date ideas","US","today+5-y","web",0
"94",2019-03-10,57,"Date ideas","US","today+5-y","web",0
"95",2019-03-17,55,"Date ideas","US","today+5-y","web",0
"96",2019-03-24,58,"Date ideas","US","today+5-y","web",0
"97",2019-03-31,53,"Date ideas","US","today+5-y","web",0
"98",2019-04-07,51,"Date ideas","US","today+5-y","web",0
"99",2019-04-14,49,"Date ideas","US","today+5-y","web",0
"100",2019-04-21,54,"Date ideas","US","today+5-y","web",0
"101",2019-04-28,55,"Date ideas","US","today+5-y","web",0
"102",2019-05-05,47,"Date ideas","US","today+5-y","web",0
"103",2019-05-12,52,"Date ideas","US","today+5-y","web",0
"104",2019-05-19,56,"Date ideas","US","today+5-y","web",0
"105",2019-05-26,58,"Date ideas","US","today+5-y","web",0
"106",2019-06-02,66,"Date ideas","US","today+5-y","web",0
"107",2019-06-09,66,"Date ideas","US","today+5-y","web",0
"108",2019-06-16,62,"Date ideas","US","today+5-y","web",0
"109",2019-06-23,61,"Date ideas","US","today+5-y","web",0
"110",2019-06-30,57,"Date ideas","US","today+5-y","web",0
"111",2019-07-07,66,"Date ideas","US","today+5-y","web",0
"112",2019-07-14,72,"Date ideas","US","today+5-y","web",0
"113",2019-07-21,69,"Date ideas","US","today+5-y","web",0
"114",2019-07-28,62,"Date ideas","US","today+5-y","web",0
"115",2019-08-04,73,"Date ideas","US","today+5-y","web",0
"116",2019-08-11,69,"Date ideas","US","today+5-y","web",0
"117",2019-08-18,65,"Date ideas","US","today+5-y","web",0
"118",2019-08-25,58,"Date ideas","US","today+5-y","web",0
"119",2019-09-01,61,"Date ideas","US","today+5-y","web",0
"120",2019-09-08,61,"Date ideas","US","today+5-y","web",0
"121",2019-09-15,69,"Date ideas","US","today+5-y","web",0
"122",2019-09-22,64,"Date ideas","US","today+5-y","web",0
"123",2019-09-29,68,"Date ideas","US","today+5-y","web",0
"124",2019-10-06,65,"Date ideas","US","today+5-y","web",0
"125",2019-10-13,69,"Date ideas","US","today+5-y","web",0
"126",2019-10-20,65,"Date ideas","US","today+5-y","web",0
"127",2019-10-27,62,"Date ideas","US","today+5-y","web",0
"128",2019-11-03,74,"Date ideas","US","today+5-y","web",0
"129",2019-11-10,72,"Date ideas","US","today+5-y","web",0
"130",2019-11-17,63,"Date ideas","US","today+5-y","web",0
"131",2019-11-24,57,"Date ideas","US","today+5-y","web",0
"132",2019-12-01,59,"Date ideas","US","today+5-y","web",0
"133",2019-12-08,60,"Date ideas","US","today+5-y","web",0
"134",2019-12-15,58,"Date ideas","US","today+5-y","web",0
"135",2019-12-22,69,"Date ideas","US","today+5-y","web",0
"136",2019-12-29,79,"Date ideas","US","today+5-y","web",0
"137",2020-01-05,72,"Date ideas","US","today+5-y","web",0
"138",2020-01-12,73,"Date ideas","US","today+5-y","web",0
"139",2020-01-19,78,"Date ideas","US","today+5-y","web",0
"140",2020-01-26,73,"Date ideas","US","today+5-y","web",0
"141",2020-02-02,81,"Date ideas","US","today+5-y","web",0
"142",2020-02-09,100,"Date ideas","US","today+5-y","web",0
"143",2020-02-16,69,"Date ideas","US","today+5-y","web",0
"144",2020-02-23,62,"Date ideas","US","today+5-y","web",0
"145",2020-03-01,62,"Date ideas","US","today+5-y","web",0
"146",2020-03-08,54,"Date ideas","US","today+5-y","web",0
"147",2020-03-15,40,"Date ideas","US","today+5-y","web",0
"148",2020-03-22,34,"Date ideas","US","today+5-y","web",0
"149",2020-03-29,40,"Date ideas","US","today+5-y","web",0
"150",2020-04-05,39,"Date ideas","US","today+5-y","web",0
"151",2020-04-12,44,"Date ideas","US","today+5-y","web",0
"152",2020-04-19,46,"Date ideas","US","today+5-y","web",0
"153",2020-04-26,44,"Date ideas","US","today+5-y","web",0
"154",2020-05-03,41,"Date ideas","US","today+5-y","web",0
"155",2020-05-10,43,"Date ideas","US","today+5-y","web",0
"156",2020-05-17,46,"Date ideas","US","today+5-y","web",0
"157",2020-05-24,46,"Date ideas","US","today+5-y","web",0
"158",2020-05-31,46,"Date ideas","US","today+5-y","web",0
"159",2020-06-07,52,"Date ideas","US","today+5-y","web",0
"160",2020-06-14,55,"Date ideas","US","today+5-y","web",0
"161",2020-06-21,52,"Date ideas","US","today+5-y","web",0
"162",2020-06-28,52,"Date ideas","US","today+5-y","web",0
"163",2020-07-05,58,"Date ideas","US","today+5-y","web",0
"164",2020-07-12,62,"Date ideas","US","today+5-y","web",0
"165",2020-07-19,59,"Date ideas","US","today+5-y","web",0
"166",2020-07-26,63,"Date ideas","US","today+5-y","web",0
"167",2020-08-02,64,"Date ideas","US","today+5-y","web",0
"168",2020-08-09,65,"Date ideas","US","today+5-y","web",0
"169",2020-08-16,65,"Date ideas","US","today+5-y","web",0
"170",2020-08-23,59,"Date ideas","US","today+5-y","web",0
"171",2020-08-30,59,"Date ideas","US","today+5-y","web",0
"172",2020-09-06,67,"Date ideas","US","today+5-y","web",0
"173",2020-09-13,64,"Date ideas","US","today+5-y","web",0
"174",2020-09-20,60,"Date ideas","US","today+5-y","web",0
"175",2020-09-27,66,"Date ideas","US","today+5-y","web",0
"176",2020-10-04,69,"Date ideas","US","today+5-y","web",0
"177",2020-10-11,67,"Date ideas","US","today+5-y","web",0
"178",2020-10-18,67,"Date ideas","US","today+5-y","web",0
"179",2020-10-25,59,"Date ideas","US","today+5-y","web",0
"180",2020-11-01,54,"Date ideas","US","today+5-y","web",0
"181",2020-11-08,67,"Date ideas","US","today+5-y","web",0
"182",2020-11-15,63,"Date ideas","US","today+5-y","web",0
"183",2020-11-22,46,"Date ideas","US","today+5-y","web",0
"184",2020-11-29,55,"Date ideas","US","today+5-y","web",0
"185",2020-12-06,56,"Date ideas","US","today+5-y","web",0
"186",2020-12-13,55,"Date ideas","US","today+5-y","web",0
"187",2020-12-20,47,"Date ideas","US","today+5-y","web",0
"188",2020-12-27,56,"Date ideas","US","today+5-y","web",0
"189",2021-01-03,66,"Date ideas","US","today+5-y","web",0
"190",2021-01-10,74,"Date ideas","US","today+5-y","web",0
"191",2021-01-17,77,"Date ideas","US","today+5-y","web",0
"192",2021-01-24,71,"Date ideas","US","today+5-y","web",0
"193",2021-01-31,73,"Date ideas","US","today+5-y","web",0
"194",2021-02-07,84,"Date ideas","US","today+5-y","web",0
"195",2021-02-14,70,"Date ideas","US","today+5-y","web",0
"196",2021-02-21,62,"Date ideas","US","today+5-y","web",0
"197",2021-02-28,62,"Date ideas","US","today+5-y","web",0
"198",2021-03-07,54,"Date ideas","US","today+5-y","web",0
"199",2021-03-14,60,"Date ideas","US","today+5-y","web",0
"200",2021-03-21,55,"Date ideas","US","today+5-y","web",0
"201",2021-03-28,49,"Date ideas","US","today+5-y","web",0
"202",2021-04-04,55,"Date ideas","US","today+5-y","web",0
"203",2021-04-11,57,"Date ideas","US","today+5-y","web",0
"204",2021-04-18,55,"Date ideas","US","today+5-y","web",0
"205",2021-04-25,56,"Date ideas","US","today+5-y","web",0
"206",2021-05-02,57,"Date ideas","US","today+5-y","web",0
"207",2021-05-09,55,"Date ideas","US","today+5-y","web",0
"208",2021-05-16,54,"Date ideas","US","today+5-y","web",0
"209",2021-05-23,64,"Date ideas","US","today+5-y","web",0
"210",2021-05-30,60,"Date ideas","US","today+5-y","web",0
"211",2021-06-06,64,"Date ideas","US","today+5-y","web",0
"212",2021-06-13,65,"Date ideas","US","today+5-y","web",0
"213",2021-06-20,66,"Date ideas","US","today+5-y","web",0
"214",2021-06-27,67,"Date ideas","US","today+5-y","web",0
"215",2021-07-04,70,"Date ideas","US","today+5-y","web",0
"216",2021-07-11,76,"Date ideas","US","today+5-y","web",0
"217",2021-07-18,72,"Date ideas","US","today+5-y","web",0
"218",2021-07-25,75,"Date ideas","US","today+5-y","web",0
"219",2021-08-01,74,"Date ideas","US","today+5-y","web",0
"220",2021-08-08,68,"Date ideas","US","today+5-y","web",0
"221",2021-08-15,70,"Date ideas","US","today+5-y","web",0
"222",2021-08-22,71,"Date ideas","US","today+5-y","web",0
"223",2021-08-29,60,"Date ideas","US","today+5-y","web",0
"224",2021-09-05,67,"Date ideas","US","today+5-y","web",0
"225",2021-09-12,69,"Date ideas","US","today+5-y","web",0
"226",2021-09-19,69,"Date ideas","US","today+5-y","web",0
"227",2021-09-26,75,"Date ideas","US","today+5-y","web",0
"228",2021-10-03,69,"Date ideas","US","today+5-y","web",0
"229",2021-10-10,73,"Date ideas","US","today+5-y","web",0
"230",2021-10-17,76,"Date ideas","US","today+5-y","web",0
"231",2021-10-24,69,"Date ideas","US","today+5-y","web",0
"232",2021-10-31,81,"Date ideas","US","today+5-y","web",0
"233",2021-11-07,84,"Date ideas","US","today+5-y","web",0
"234",2021-11-14,73,"Date ideas","US","today+5-y","web",0
"235",2021-11-21,60,"Date ideas","US","today+5-y","web",0
"236",2021-11-28,68,"Date ideas","US","today+5-y","web",0
"237",2021-12-05,73,"Date ideas","US","today+5-y","web",0
"238",2021-12-12,71,"Date ideas","US","today+5-y","web",0
"239",2021-12-19,56,"Date ideas","US","today+5-y","web",0
"240",2021-12-26,60,"Date ideas","US","today+5-y","web",0
"241",2022-01-02,77,"Date ideas","US","today+5-y","web",0
"242",2022-01-09,86,"Date ideas","US","today+5-y","web",0
"243",2022-01-16,89,"Date ideas","US","today+5-y","web",0
"244",2022-01-23,87,"Date ideas","US","today+5-y","web",0
"245",2022-01-30,83,"Date ideas","US","today+5-y","web",0
"246",2022-02-06,99,"Date ideas","US","today+5-y","web",0
"247",2022-02-13,86,"Date ideas","US","today+5-y","web",0
"248",2022-02-20,70,"Date ideas","US","today+5-y","web",0
"249",2022-02-27,63,"Date ideas","US","today+5-y","web",0
"250",2022-03-06,68,"Date ideas","US","today+5-y","web",0
"251",2022-03-13,63,"Date ideas","US","today+5-y","web",0
"252",2022-03-20,71,"Date ideas","US","today+5-y","web",0
"253",2022-03-27,67,"Date ideas","US","today+5-y","web",0
"254",2022-04-03,70,"Date ideas","US","today+5-y","web",0
"255",2022-04-10,68,"Date ideas","US","today+5-y","web",0
"256",2022-04-17,67,"Date ideas","US","today+5-y","web",0
"257",2022-04-24,66,"Date ideas","US","today+5-y","web",0
"258",2022-05-01,59,"Date ideas","US","today+5-y","web",0
"259",2022-05-08,55,"Date ideas","US","today+5-y","web",0
"260",2022-05-15,59,"Date ideas","US","today+5-y","web",0
