"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"71",2018-09-30,12,66,47,38,67,53,82,75,15,22,76,3,59,32,67,75,76
"72",2018-10-07,21,60,47,40,69,70,82,68,15,21,77,3,59,35,64,72,79
"73",2018-10-14,26,60,50,38,79,59,82,77,14,20,72,5,63,30,64,75,81
"74",2018-10-21,13,58,52,37,73,67,82,74,13,19,72,3,60,33,60,74,64
"75",2018-10-28,17,70,47,40,79,53,82,82,13,21,77,3,60,32,59,75,70
"76",2018-11-04,44,70,47,40,80,62,81,76,13,21,74,2,63,28,64,78,76
"77",2018-11-11,25,60,47,39,72,42,88,79,13,22,72,3,56,30,67,79,74
"78",2018-11-18,13,51,86,41,75,56,66,73,15,18,76,2,56,30,67,79,81
"79",2018-11-25,16,56,53,38,74,61,81,68,14,23,76,2,58,30,66,73,72
"80",2018-12-02,46,56,48,38,68,54,86,74,14,22,75,7,58,31,67,77,81
"81",2018-12-09,29,54,47,39,69,58,83,71,14,22,75,10,61,31,62,76,72
"82",2018-12-16,51,58,46,43,65,56,73,68,15,21,74,6,57,36,62,75,72
"83",2018-12-23,29,65,44,45,63,43,58,81,16,21,87,5,61,44,83,79,81
"84",2018-12-30,44,83,49,49,68,62,65,81,16,19,86,7,66,39,82,79,86
"85",2019-01-06,25,73,49,42,69,59,75,71,14,22,89,5,66,35,77,77,82
"86",2019-01-13,28,73,48,39,71,38,77,70,13,21,83,26,65,33,68,74,73
"87",2019-01-20,45,73,52,43,69,52,77,71,15,24,82,8,62,33,70,77,73
"88",2019-01-27,32,73,50,42,72,49,82,69,13,20,77,6,61,37,65,77,76
"89",2019-02-03,55,75,47,42,72,42,81,67,17,20,75,6,63,43,66,80,78
"90",2019-02-10,40,90,49,52,80,45,82,69,15,22,73,5,66,35,65,94,76
"91",2019-02-17,56,65,50,51,75,56,82,70,17,21,75,4,63,32,65,79,76
"92",2019-02-24,36,52,48,46,72,57,83,64,13,21,73,6,63,30,61,76,75
"93",2019-03-03,16,57,50,43,77,47,81,68,13,35,72,7,63,29,67,74,68
"94",2019-03-10,28,57,57,42,74,36,73,65,13,19,70,10,62,28,63,71,70
"95",2019-03-17,38,55,53,44,71,57,76,76,13,19,74,6,66,29,64,76,68
"96",2019-03-24,37,58,80,41,73,46,77,81,14,22,72,5,65,33,67,74,75
"97",2019-03-31,25,53,59,40,72,50,77,72,14,26,71,4,64,30,64,73,75
"98",2019-04-07,46,51,51,37,76,53,79,72,14,22,75,4,70,36,67,74,72
"99",2019-04-14,55,49,47,40,72,55,75,73,13,27,73,7,67,35,71,72,70
"100",2019-04-21,38,54,46,38,79,34,78,77,26,20,75,11,67,39,66,73,70
"101",2019-04-28,70,55,46,38,72,44,76,69,20,22,71,23,65,33,66,73,67
"102",2019-05-05,37,47,47,40,65,44,74,70,14,22,71,37,64,34,67,76,66
"103",2019-05-12,30,52,45,38,66,53,73,69,14,20,72,22,65,33,69,75,65
"104",2019-05-19,47,56,46,40,69,41,67,70,14,19,76,21,64,33,71,72,65
"105",2019-05-26,61,58,47,41,60,39,66,75,14,20,80,29,69,37,75,73,71
"106",2019-06-02,51,66,56,39,65,41,65,81,14,21,78,41,68,36,73,73,80
"107",2019-06-09,51,66,53,41,70,50,65,84,14,22,79,33,68,32,72,72,73
"108",2019-06-16,43,62,59,40,68,46,63,80,14,21,78,50,69,32,76,74,75
"109",2019-06-23,48,61,55,41,58,48,62,79,14,22,79,81,71,34,83,73,71
"110",2019-06-30,49,57,63,42,61,69,57,79,15,20,81,100,66,33,90,72,75
"111",2019-07-07,68,66,62,41,74,73,62,83,15,19,80,22,67,34,80,73,75
